Id,SalePrice
1461,119639.92851218143
1462,166819.82441023894
1463,185187.46047365348
1464,195137.59096191335
1465,190635.13627331896
1466,172495.47021867678
1467,177869.9178629412
1468,163307.4357928132
1469,192887.8161574324
1470,124874.71894688212
1471,189148.18989543777
1472,97675.02865506549
1473,96385.28056960423
1474,142069.3130325217
1475,110561.35784685327
1476,364003.83203734667
1477,254939.60518813485
1478,285594.31511390844
1479,280309.8809270302
1480,536621.4528812093
1481,326873.84734056925
1482,207443.8578257854
1483,178905.61204879006
1484,161173.44271643672
1485,181052.3932392429
1486,195895.94883219697
1487,326309.5351586337
1488,237176.09490441333
1489,198196.53677977956
1490,235608.4410196282
1491,192854.46536455894
1492,89644.8176248315
1493,189078.84287659777
1494,287250.20099114627
1495,280013.5564442126
1496,244851.2237579977
1497,180904.9807209302
1498,166379.20442994792
1499,163816.88474638682
1500,157568.83809961242
1501,182827.09078448088
1502,145896.89956542038
1503,286420.40442792664
1504,237942.31408129144
1505,225715.44929004065
1506,186968.76084423912
1507,253824.529926846
1508,202840.38902038595
1509,161316.94308777785
1510,143778.57166265568
1511,150435.3744955598
1512,171896.23170993486
1513,144274.20965290844
1514,152896.32310790586
1515,197034.28139944735
1516,153078.61040910493
1517,170387.21217406265
1518,125893.5640325538
1519,221286.79032758833
1520,128105.04400001936
1521,131653.68899369639
1522,173747.91672066826
1523,114263.86615197033
1524,124935.51355261772
1525,122878.87136036057
1526,111272.18767101387
1527,107980.2897834714
1528,135933.09954706693
1529,151241.30743492744
1530,182780.7553533155
1531,115852.36592214393
1532,93006.42243948596
1533,150834.3422668484
1534,122824.11786345596
1535,148073.0307980136
1536,106325.83899016835
1537,56817.9643537712
1538,160039.73866038126
1539,197162.20518222774
1540,97325.58536471553
1541,141842.62158253492
1542,140391.0153570265
1543,198503.72809385238
1544,81715.33433282032
1545,116097.49411448534
1546,131757.5142396826
1547,130527.83619383775
1548,136171.90150623876
1549,116616.11346404882
1550,136896.7022641036
1551,106199.58165166936
1552,145687.45158065323
1553,146365.36754823447
1554,118017.54686089828
1555,159028.29310930203
1556,86659.9731314724
1557,95885.90999498295
1558,99304.43920937856
1559,77996.48754001084
1560,126747.32870460741
1561,129113.9268583437
1562,126041.79887759163
1563,121932.28549461144
1564,158486.49363942997
1565,149253.81615876258
1566,244740.14012346693
1567,75444.99196605515
1568,234369.19915119035
